Episode,Score,MaxScore,AvgScore100,Epsilon,Steps,TotalReward
311,13,13,3.8300,0.210367,159,30.0
312,0,13,3.7800,0.209315,11,-100.0
313,8,13,3.8200,0.208269,90,-20.0
314,1,13,3.8000,0.207227,20,-90.0
315,8,13,3.8300,0.206191,121,-20.0
316,7,13,3.8700,0.205160,123,-30.0
317,5,13,3.9200,0.204135,60,-50.0
318,3,13,3.8900,0.203114,43,-70.0
319,7,13,3.9500,0.202098,77,-30.0
320,0,13,3.9000,0.201088,13,-100.0
321,0,13,3.9000,0.200082,13,-100.0
322,8,13,3.9500,0.199082,102,-20.0
323,3,13,3.9600,0.198087,46,-70.0
324,14,14,4.0700,0.197096,219,40.0
325,8,14,4.0800,0.196111,96,-20.0
326,9,14,4.1300,0.195130,128,-10.0
327,16,16,4.2600,0.194154,225,60.0
328,8,16,4.3100,0.193184,112,-20.0
329,3,16,4.3300,0.192218,49,-70.0
330,3,16,4.3500,0.191257,61,-70.0
331,1,16,4.2900,0.190300,26,-90.0
332,5,16,4.3000,0.189349,88,-50.0
333,4,16,4.3400,0.188402,63,-60.0
334,0,16,4.2900,0.187460,17,-100.0
335,4,16,4.3100,0.186523,50,-60.0
336,14,16,4.4200,0.185590,134,40.0
337,3,16,4.4200,0.184662,41,-70.0
338,23,23,4.6400,0.183739,286,130.0
339,12,23,4.7200,0.182820,170,20.0
340,4,23,4.7300,0.181906,59,-60.0
341,7,23,4.7800,0.180997,151,-30.0
342,11,23,4.8600,0.180092,197,10.0
343,6,23,4.8900,0.179191,74,-40.0
344,11,23,4.9500,0.178295,126,10.0
345,5,23,4.8700,0.177404,42,-50.0
346,1,23,4.8500,0.176517,13,-90.0
347,9,23,4.9100,0.175634,117,-10.0
348,8,23,4.9600,0.174756,94,-20.0
349,10,23,5.0300,0.173882,176,0.0
350,6,23,5.0600,0.173013,94,-40.0
351,12,23,5.1400,0.172148,223,20.0
352,7,23,5.1800,0.171287,114,-30.0
353,8,23,5.2600,0.170431,104,-20.0
354,3,23,5.2700,0.169578,58,-70.0
355,3,23,5.2700,0.168731,38,-70.0
356,5,23,5.3000,0.167887,86,-50.0
357,5,23,5.3000,0.167047,85,-50.0
358,6,23,5.3200,0.166212,93,-40.0
359,1,23,5.2800,0.165381,25,-90.0
360,12,23,5.3900,0.164554,152,20.0
361,4,23,5.4000,0.163731,58,-60.0
362,1,23,5.3300,0.162913,18,-90.0
363,5,23,5.3400,0.162098,54,-50.0
364,6,23,5.3600,0.161288,59,-40.0
365,7,23,5.4200,0.160481,134,-30.0
